,Link,Nama,Lokasi,Harga,Jenis,Listrik,Luas Kamar,K Mandi Dalam,AC,WiFi,Kasur,Akses 24 Jam,Panjang Kamar,Lebar Kamar,Maps,Latitude,Longitude,UPN,UNAIR Kampus Dharmahusada A,UNAIR Kampus Dharmawangsa B,UNAIR Kampus Merr C,ITS Kampus Sukolilo,ITS Kampus Manyar,ITS Kampus Cokroaminoto,UNESA Kampus Ketintang (Gayungan),UNESA Kampus Lidah Wetan (Lakarsantri),Kampus Terdekat,Jarak ke Kampus Terdekat
360,https://mamikos.com/room/kost-surabaya-kost-putra-eksklusif-kost-abhipraya-tipe-a-sukolilo-surabaya?redirection_source=list%20kos%20result,Kost Abhipraya Tipe A Sukolilo Surabaya,Sukolilo,1350000,Putra,Tidak termasuk listrik,10,Yes,Yes,Yes,Yes,Yes,4,2.5,"https://maps.google.com/maps?z=7&q=-7.297138,112.804279",-7.297138,112.804279,4.323402199,6.210257877,5.761519945,3.875262214,1.945151046,4.625632001,7.516664535,8.730538885,14.51608523,ITS Kampus Sukolilo,1.945151046
361,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-manyar-jaya-12-tipe-ac-sukolilo-surabaya?redirection_source=list%20kos%20result,Kost Manyar Jaya 12 Tipe AC Sukolilo Surabaya,Sukolilo,1650000,Putri,Termasuk listrik,12,No,Yes,Yes,Yes,Yes,3,4,"https://maps.google.com/maps?z=7&q=-7.295782,112.771518",-7.295782,112.771518,4.526425648,3.758765769,3.013858798,3.346213346,2.990552081,1.347977338,4.10846444,5.33436807,10.91118308,ITS Kampus Manyar,1.347977338
362,https://mamikos.com/room/kost-surabaya-kost-putri-eksklusif-kost-syabab-sukolilo-surabaya?redirection_source=list%20kos%20result,Kost Syabab Sukolilo Surabaya,Sukolilo,1000000,Putri,Tidak termasuk listrik,12,Yes,Yes,Yes,Yes,Yes,3,4,"https://maps.google.com/maps?z=7&q=-7.299782,112.774765",-7.299782,112.774765,3.975326084,4.309257769,3.576339346,3.635263598,2.958418945,1.918993115,4.642712672,5.512284402,11.2558081,ITS Kampus Manyar,1.918993115
363,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-emk-sukolilo-surabaya?redirection_source=list%20kos%20result,Kost EMK Sukolilo Surabaya,Sukolilo,1350000,Putri,Tidak termasuk listrik,9,Yes,Yes,Yes,Yes,Yes,3,3,"https://maps.google.com/maps?z=7&q=-7.2855062,112.7814814",-7.2855062,112.7814814,5.315801383,3.439541827,2.937227759,1.918045881,1.530168499,1.957556361,4.765778994,6.825696298,12.11532856,ITS Kampus Sukolilo,1.530168499
364,https://mamikos.com/room/kost-kota-surabaya-kost-putra-murah-kost-56-tipe-e-sukolilo-surabaya?redirection_source=list%20kos%20result,Kost 56 Tipe E Sukolilo Surabaya,Sukolilo,600000,Putra,Termasuk listrik,8.1,No,No,Yes,Yes,Yes,2.7,3,"https://maps.google.com/maps?z=7&q=-7.291861,112.795329",-7.291861,112.795329,4.610161642,5.06728786,4.613656916,2.870984319,1.065935236,3.534477171,6.409059635,7.942462046,13.55951822,ITS Kampus Sukolilo,1.065935236
365,https://mamikos.com/room/kost-surabaya-kost-putri-eksklusif-kost-house-of-hanna-orchids-tipe-b-sukolilo-surabaya-2?redirection_source=list%20kos%20result,Kost House of Hanna Orchids Tipe B Sukolilo Surabaya,Sukolilo,1250000,Putri,Tidak termasuk listrik,9,Yes,Yes,Yes,Yes,No,3,3,"https://maps.google.com/maps?z=7&q=-7.295843,112.801836",-7.295843,112.801836,4.358472875,5.90758595,5.456064679,3.606207086,1.68753336,4.328738272,7.217544972,8.503234044,14.25154191,ITS Kampus Sukolilo,1.68753336
366,https://mamikos.com/room/kost-surabaya-kost-campur-eksklusif-kost-like-tipe-b-mulyorejo-surabaya?redirection_source=list%20kos%20result,Kost Like Tipe B Mulyorejo Surabaya,Mulyorejo,1500000,Campur,Tidak termasuk listrik,12,Yes,Yes,Yes,Yes,Yes,3,4,"https://maps.google.com/maps?z=7&q=-7.2680718,112.7750955",-7.2680718,112.7750955,7.348800204,1.863905015,1.858325189,1.014366632,2.702075374,2.392764056,4.128145009,7.423778408,11.8621672,UNAIR Kampus Merr C,1.014366632
367,https://mamikos.com/room/kost-kota-surabaya-kost-putra-murah-kost-hj-maimunah-tipe-vvip-mulyorejo-surabaya-2?redirection_source=list%20kos%20result,Kost Hj Maimunah Tipe VVIP Mulyorejo Surabaya,Mulyorejo,600000,Putra,Termasuk listrik,12,No,No,No,No,Yes,3,4,"https://maps.google.com/maps?z=7&q=-7.282772,112.802585",-7.282772,112.802585,5.77034301,5.261128317,4.992071654,2.569086849,0.841884845,4.301751059,7.037584707,9.053643663,14.46266513,ITS Kampus Sukolilo,0.841884845
368,https://mamikos.com/room/kost-surabaya-kost-putra-eksklusif-kost-its-ibu-isni-tipe-b-sukolilo-surabaya?redirection_source=list%20kos%20result,Kost ITS Ibu Isni Tipe B Sukolilo Surabaya,Sukolilo,1000000,Putra,Tidak termasuk listrik,9,No,Yes,Yes,Yes,Yes,3,3,"https://maps.google.com/maps?z=7&q=-7.286627,112.795027",-7.286627,112.795027,5.180817119,4.712444583,4.332084841,2.339934924,0.483241433,3.449047931,6.259592523,8.118703542,13.58128365,ITS Kampus Sukolilo,0.483241433
369,https://mamikos.com/room/kost-surabaya-kost-putra-murah-kost-ibu-par-tipe-standart-sukolilo-surabaya-2?redirection_source=list%20kos%20result,Kost Ibu Par Tipe Standart Sukolilo Surabaya,Sukolilo,650000,Putra,Termasuk listrik,4,No,No,Yes,Yes,Yes,2,2,"https://maps.google.com/maps?z=7&q=-7.2888456250647,112.77327820659",-7.288845625,112.7732782,5.170640586,3.154454711,2.482162489,2.569122356,2.50121401,1.084300021,3.977653878,5.854726321,11.17007822,ITS Kampus Manyar,1.084300021
370,https://mamikos.com/room/kost-surabaya-kost-putri-eksklusif-kost-rumahkoe-tipe-b-besar-mulyorejo-surabaya-2?redirection_source=list%20kos%20result,Kost RumahKoe Tipe B Besar Mulyorejo Surabaya,Mulyorejo,2500000,Putri,Tidak termasuk listrik,20,Yes,Yes,Yes,Yes,Yes,4,5,"https://maps.google.com/maps?z=7&q=-7.268031,112.789701",-7.268031,112.789701,7.201229193,3.454591532,3.447433241,0.599768073,1.687729651,3.51688789,5.699354411,8.647473353,13.406019,UNAIR Kampus Merr C,0.599768073
371,https://mamikos.com/room/kost-surabaya-kost-putra-murah-kos-putra-sukolilo-sukolilo-surabaya-2?redirection_source=list%20kos%20result,Kost Semolowaru Utara 114 Sukolilo Surabaya,Sukolilo,600000,Putra,Tidak termasuk listrik,9,No,No,Yes,No,No,3,3,"https://maps.google.com/maps?z=7&q=-7.298827,112.779402",-7.298827,112.779402,3.91049372,4.453673335,3.770640532,3.416874068,2.516443329,2.209448081,5.03450063,6.031911566,11.76867392,ITS Kampus Manyar,2.209448081
372,https://mamikos.com/room/kost-kota-surabaya-kost-putri-murah-kost-its-g-01-tipe-c-sukolilo-surabaya?redirection_source=list%20kos%20result,Kost Its G 01 Tipe C Sukolilo Surabaya,Sukolilo,750000,Putri,Termasuk listrik,6.25,No,No,Yes,Yes,Yes,2.5,2.5,"https://maps.google.com/maps?z=7&q=-7.288391,112.795318",-7.288391,112.795318,4.991217125,4.844529965,4.439389566,2.526336621,0.680440424,3.487970098,6.324847607,8.074441879,13.59191765,ITS Kampus Sukolilo,0.680440424
373,https://mamikos.com/room/kost-kota-surabaya-kost-putri-murah-kost-its-g-01-tipe-d-sukolilo-surabaya?redirection_source=list%20kos%20result,Kost Its G 01 Tipe D Sukolilo Surabaya,Sukolilo,700000,Putri,Termasuk listrik,6.25,No,No,Yes,Yes,Yes,2.5,2.5,"https://maps.google.com/maps?z=7&q=-7.288391,112.795318",-7.288391,112.795318,4.991217125,4.844529965,4.439389566,2.526336621,0.680440424,3.487970098,6.324847607,8.074441879,13.59191765,ITS Kampus Sukolilo,0.680440424
374,https://mamikos.com/room/kost-kota-surabaya-kost-putra-murah-kos-syaifullah-tipe-a-sukolilo-surabaya-2?redirection_source=list%20kos%20result,Kost Syaifullah Tipe A Sukolilo Surabaya,Sukolilo,800000,Putra,Termasuk listrik,16,No,No,No,Yes,Yes,4,4,"https://maps.google.com/maps?z=7&q=-7.3313233822521,112.72364392884",-7.331323382,112.7236439,7.16827757,8.36948755,7.659335399,9.672491086,9.571792539,6.671312422,6.187003175,1.860117643,6.565840508,UNESA Kampus Ketintang (Gayungan),1.860117643
375,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-singgahsini-cahaya-tipe-b-gayungan-surabaya?redirection_source=list%20kos%20result,Kost Singgahsini Cahaya Tipe B Gayungan Surabaya,Gayungan,2065000,Putri,Termasuk listrik,12.25,No,Yes,Yes,Yes,No,3.5,3.5,"https://maps.google.com/maps?z=7&q=-7.3313233822521,112.72364392884",-7.331323382,112.7236439,7.16827757,8.36948755,7.659335399,9.672491086,9.571792539,6.671312422,6.187003175,1.860117643,6.565840508,UNESA Kampus Ketintang (Gayungan),1.860117643
376,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-singgahsini-cahaya-tipe-a-gayungan-surabaya?redirection_source=list%20kos%20result,Kost Singgahsini Cahaya Tipe A Gayungan Surabaya,Gayungan,1825000,Putri,Termasuk listrik,12.25,No,Yes,Yes,Yes,No,3.5,3.5,"https://maps.google.com/maps?z=7&q=-7.3313233822521,112.72364392884",-7.331323382,112.7236439,7.16827757,8.36948755,7.659335399,9.672491086,9.571792539,6.671312422,6.187003175,1.860117643,6.565840508,UNESA Kampus Ketintang (Gayungan),1.860117643
377,https://mamikos.com/room/kost-surabaya-kost-campur-eksklusif-kost-singgahsini-demsey-tipe-a-margorejo-surabaya?redirection_source=list%20kos%20result,Kost Singgahsini Demsey Tipe A Margorejo Surabaya,Wonocolo,2350000,Campur,Tidak termasuk listrik,25,Yes,Yes,Yes,Yes,Yes,5,5,"https://maps.google.com/maps?z=7&q=-7.3166591,112.7432393",-7.3166591,112.7432393,5.316893854,6.040845745,5.265398918,7.013597365,6.867583252,4.053280126,4.346293073,1.780143999,7.976858844,UNESA Kampus Ketintang (Gayungan),1.780143999
378,https://mamikos.com/room/kost-kota-surabaya-kost-campur-eksklusif-kost-singgahsini-gakesa-1210-tipe-a-gayungan-surabaya?redirection_source=list%20kos%20result,Kost Singgahsini Gakesa 1210 Tipe A Gayungan Surabaya,Gayungan,2071000,Campur,Tidak termasuk listrik,20,Yes,Yes,Yes,Yes,Yes,4,5,"https://maps.google.com/maps?z=7&q=-7.324555,112.72267",-7.324555,112.72267,7.331234666,7.763463501,7.079561473,9.222507922,9.256340648,6.206373296,5.501107488,1.176711631,6.112596009,UNESA Kampus Ketintang (Gayungan),1.176711631
379,https://mamikos.com/room/kost-kota-surabaya-kost-campur-eksklusif-kost-singgahsini-gakesa-1210-tipe-b-gayungan-surabaya?redirection_source=list%20kos%20result,Kost Singgahsini Gakesa 1210 Tipe B Gayungan Surabaya,Gayungan,1885000,Campur,Tidak termasuk listrik,12,Yes,Yes,Yes,Yes,Yes,3,4,"https://maps.google.com/maps?z=7&q=-7.324555,112.72267",-7.324555,112.72267,7.331234666,7.763463501,7.079561473,9.222507922,9.256340648,6.206373296,5.501107488,1.176711631,6.112596009,UNESA Kampus Ketintang (Gayungan),1.176711631
380,https://mamikos.com/room/kost-kota-surabaya-kost-putra-murah-kost-apik-ibu-yuli-wonokromo-surabaya?redirection_source=list%20kos%20result,Kost Apik Ibu Yuli Wonokromo Surabaya,Wonokromo,1040000,Putra,Termasuk listrik,12,No,No,Yes,Yes,No,4,3,"https://maps.google.com/maps?z=7&q=-7.3075152,112.730954",-7.3075152,112.730954,6.953404424,5.670643615,5.007965533,7.309956351,7.59754313,4.312026853,3.420492832,0.926994073,6.467155364,UNESA Kampus Ketintang (Gayungan),0.926994073
