,Link,Nama,Lokasi,Harga,Jenis,Listrik,Luas Kamar,K Mandi Dalam,AC,WiFi,Kasur,Akses 24 Jam,Panjang Kamar,Lebar Kamar,Latitude,Longitude,Kampus Terdekat,Jarak ke Kampus Terdekat,Kelompok Kampus
27,https://mamikos.com/room/kost-surabaya-kost-putri-eksklusif-kost-jl-rungkut-harapan-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Jl Rungkut Harapan Rungkut Surabaya,Rungkut,1500000,Putri,Tidak termasuk listrik,15.0,Yes,Yes,Yes,Yes,Yes,3.0,5.0,-7.32483856,112.77955690000002,UPN,1.33443568,UPN
28,https://mamikos.com/room/kost-surabaya-kost-putra-eksklusif-kost-upn-gunung-anyar-surabaya?redirection_source=list%20kos%20result,Kost Upn Gunung Anyar Surabaya,Gunung Anyar,1200000,Putra,Tidak termasuk listrik,9.0,No,Yes,No,Yes,Yes,3.0,3.0,-7.33938196,112.7872746,UPN,0.7485681209999999,UPN
29,https://mamikos.com/room/kost-kota-surabaya-kost-campur-eksklusif-kost-yellow-tipe-a-gunung-anyar-surabaya?redirection_source=list%20kos%20result,Kost Yellow Tipe A Gunung Anyar Surabaya,Gunung Anyar,1550000,Putri,Tidak termasuk listrik,9.0,Yes,Yes,Yes,Yes,Yes,3.0,3.0,-7.334014907,112.78446070000001,UPN,0.47916788899999996,UPN
30,https://mamikos.com/room/kost-kota-surabaya-kost-putra-eksklusif-kost-hub-ii-rungkut-surabaya-2?redirection_source=list%20kos%20result,Kost Hub II Rungkut Surabaya,Rungkut,1100000,Putra,Tidak termasuk listrik,12.0,No,Yes,Yes,Yes,Yes,3.0,4.0,-7.327751267999999,112.7933156,UPN,0.76215547,UPN
31,https://mamikos.com/room/kost-kota-surabaya-kost-putra-eksklusif-kost-hub-iii-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Hub III Rungkut Surabaya,Rungkut,1000000,Putra,Tidak termasuk listrik,12.0,No,Yes,Yes,Yes,Yes,3.0,4.0,-7.3243307710000005,112.7847527,UPN,1.032446439,UPN
32,https://mamikos.com/room/kost-surabaya-kost-putra-murah-kost-amanah-gunung-anyar-surabaya?redirection_source=list%20kos%20result,Kost Amanah Gunung Anyar Surabaya,Gunung Anyar,800000,Putra,Termasuk listrik,9.0,Yes,No,Yes,Yes,Yes,3.0,3.0,-7.345286,112.80701100000002,UPN,2.45847468,UPN
33,https://mamikos.com/room/kost-kota-surabaya-kost-putri-murah-kost-mahasiswi-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Mahasiswi Rungkut Surabaya,Rungkut,800000,Putri,Termasuk listrik,12.0,No,No,Yes,Yes,No,3.0,4.0,-7.3332719,112.7943625,UPN,0.635127352,UPN
34,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-narita-tipe-c-rungkut-surabaya-2?redirection_source=list%20kos%20result,Kost Narita Tipe C Rungkut Surabaya,Rungkut,1500000,Putri,Tidak termasuk listrik,9.0,Yes,Yes,Yes,Yes,Yes,3.0,3.0,-7.331475,112.79953,UPN,1.211493531,UPN
35,https://mamikos.com/room/kost-surabaya-kost-putri-eksklusif-kost-halo-rungkut-surabaya?redirection_source=list%20kos%20result,Kost Halo Rungkut Surabaya,Rungkut,1800000,Putri,Tidak termasuk listrik,9.0,Yes,Yes,Yes,Yes,Yes,3.0,3.0,-7.330271000000001,112.785793,UPN,0.41908042700000003,UPN
36,https://mamikos.com/room/kost-kota-surabaya-kost-putri-eksklusif-kost-harmasy-tipe-a-gunung-anyar-surabaya-2?redirection_source=list%20kos%20result,Kost Harmasy Tipe A Gunung Anyar Surabaya,Gunung Anyar,900000,Putri,Termasuk listrik,9.0,Yes,No,Yes,Yes,Yes,3.0,3.0,-7.332145,112.78179899999999,UPN,0.7561127120000001,UPN
37,https://mamikos.com/room/kost-kota-surabaya-kost-putra-eksklusif-kost-yellow-tipe-c-gunung-anyar-surabaya?redirection_source=list%20kos%20result,Kost Yellow Tipe C Gunung Anyar Surabaya,Gunung Anyar,2000000,Putri,Tidak termasuk listrik,16.0,Yes,Yes,Yes,Yes,Yes,4.0,4.0,-7.334014907,112.78446070000001,UPN,0.47916788899999996,UPN
38,https://mamikos.com/room/kost-kota-surabaya-kost-putra-eksklusif-kost-happy-home-poltek-pelayaran-gunung-anyar-surabaya-1?redirection_source=list%20kos%20result,Kost Happy Home Poltek Pelayaran Gunung Anyar Surabaya,Gunung Anyar,1800000,Putra,Tidak termasuk listrik,9.0,No,Yes,No,Yes,Yes,3.0,3.0,-7.342921129,112.79354209999998,UPN,1.250833261,UPN
39,https://mamikos.com/room/kost-kabupaten-sidoarjo-kost-putri-murah-kost-amanah-i-tipe-single-waru-sidoarjo-2?redirection_source=list%20kos%20result,Kost Amanah I Tipe Single Waru Sidoarjo,Waru,650000,Putri,Termasuk listrik,6.0,Yes,No,Yes,Yes,Yes,2.0,3.0,-7.346686200000001,112.8002328,UPN,2.0070961919999997,UPN
40,https://mamikos.com/room/kost-surabaya-kost-campur-eksklusif-kost-the-harvest-tipe-vip-rungkut-surabaya?redirection_source=list%20kos%20result,Kost The Harvest Tipe VIP Rungkut Surabaya,Rungkut,1800000,Campur,Tidak termasuk listrik,20.0,Yes,Yes,Yes,Yes,Yes,4.0,5.0,-7.3249899,112.7949193,UPN,1.11046469,UPN
41,https://mamikos.com/room/kost-surabaya-kost-putri-eksklusif-kost-q9-tipe-a-gunung-anyar-surabaya?redirection_source=list%20kos%20result,Kost Q9 Tipe A Gunung Anyar Surabaya,Gunung Anyar,1300000,Putri,Tidak termasuk listrik,12.0,Yes,Yes,Yes,Yes,No,3.0,4.0,-7.339138216,112.7741627,UPN,1.744406154,UPN
42,https://mamikos.com/room/kost-surabaya-kost-putri-murah-kost-putri-wiguna-selatan-gunung-anyar-surabaya?redirection_source=list%20kos%20result,Kost Putri Wiguna Selatan Gunung Anyar Surabaya,Gunung Anyar,750000,Putri,Termasuk listrik,9.0,No,No,No,Yes,Yes,3.0,3.0,-7.339381299999999,112.80139240000001,UPN,1.587708027,UPN
